,Country,2020[1],2019[1],2018[1],2017[1],2016[1],2015[2],2014[3],2013[4],2012[5],2011[5],2010[5],2009[5],2008[5],2007[5],2006[5],2005 [6],2004[6],2003[6],2002,2001,2000,1999,1998,1997,1996
10,Argentina,19.8,19.5,18.5,18.4,18.6,11.6,13.9,8.0,11.0,16.4,14.9,8.9,8.5,16.5,14.0,16.0,14.6,14.5,12.3,15.4,16.5,15.7,11.5,14.8,15.9
11,Iran,15.0,16.8[7],14.5[7],14.0[7],11.1[7],11.5,13.5[8],14.0[7],13.8[7],13.5[7],15.0,13.5,8.0,15.9,14.5,14.5,14.0,13.4,12.5,9.5,7.0,8.0,11.0,10.2,8.8
12,Australia,14.5,17.6,20.9,31.8,22.3,23.7,25.3,22.9,29.9,27.4,22.1,21.7,21.4,13.0,10.8,25.1,21.9,26.1,10.1,24.3,18.5,24.1,22.1,19.4,23.7
13,Kazakhstan,14.3,11.3,13.9,14.8,15.0,13.7,13.0,13.9,13.3,22.7,9.6,17.1,12.6,16.5,13.5,11.1,9.9,11.5,12.7,12.7,9.1,11.2,4.8,8.7,8.0
14,Poland,12.4,10.8,9.8,11.7,10.8,11.0,11.6,9.5,8.6[7],9.3,9.5,9.8,9.3,8.4,7.1,8.6,9.9,7.9,9.3,9.3,8.5,9.1,9.5,8.2,8.6
15,United Kingdom,9.7,16.2,13.6,14.8,14.4,16.4,16.6,11.9,13.3,15.3,14.9,14.4,17.2,13.4,14.7,15.0,15.5,14.3,16.0,11.6,16.8,14.9,15.5,15.1,16.1
16,Egypt,9.0,9.0[7],8.8[7],8.6[9],9.0[7],9.6[7],9.3,9.5,8.8[7],8.4,7.2,8.5,8.0,7.4,8.3,8.1,7.2,6.8,6.6,6.3,6.6,6.3,6.0,5.8,5.7
17,Spain,8.1,6.0,8.0,4.8,6.4,6.4,6.5,7.6,4.7,6.9,5.6,4.7,6.7,6.4,5.6,3.8,7.1,6.3,6.8,5.0,7.3,4.9,5.3,4.6,6.0
18,Romania,6.8,10.3,10.1,10.0,8.4,8.0,7.6,7.3,5.3,7.1,5.8,5.2,7.2,2.9,5.5,7.0,7.8,2.5,4.4,7.8,4.4,4.4,5.0,6.6,3.1
19,Italy,6.7,6.7,6.9,7.0,8.0,7.4,7.1,7.0,7.4[7],6.6,6.8,6.3,8.9,7.3,7.1,7.5,8.6,6.2,7.6,6.5,6.9,7.3,8.1,6.8,8.3
20,Brazil,6.3,5.6,5.4,4.3,6.8,5.5,6.3,5.7,4.4,5.7,6.0,5.1,6.0,4.1,2.5,5.2,5.7,6.2,3.1,3.4,1.7,2.5,2.3,2.5,3.3
21,Iraq,6.2,4.3,3.2,3.0,3.1,2.6,3.8[7],3.3[7],2.4,2.8,2.8,1.7,1.3,2.2,2.1,2.2,1.8,2.3,2.6,0.9,0.4,0.8,1.1,1.1,1.3
22,Uzbekistan,6.2,6.1,5.4,6.1,6.9,7.0,7.0,6.8,6.5,6.5,6.7,6.6,6.1,6.2,6.1,6.1,5.4,5.4,5.0,3.7,3.5,3.6,3.6,3.0,2.7
23,Ethiopia,5.5,5.3,4.2,4.8,4.5,4.7,4.2,4.0,2.9,2.9,3.1,2.5,2.5,2.2,2.8,1.7,1.6,1.4,1.5,1.6,2.5,2.1,1.5,2.0,1.6
24,Afghanistan,5.2,4.9,3.6,4.3,4.6,4.7,5.4,5.2,5.1,3.4,4.5,5.1,2.6,4.5,3.4,4.3,2.3,3.5,2.7,1.6,1.5,2.5,2.8,2.7,2.3
25,Hungary,5.1,5.4,5.2,5.2,4.8,5.3,5.3,5.1,3.8,4.1,3.8,4.4,5.6,4.0,4.4,5.0,6.0,2.9,3.9,5.2,3.7,2.6,4.9,5.3,3.9
26,Czechia,4.9,4.8,4.4,4.7,5.5,5.3,5.4,4.7,3.5,4.9,4.2,4.4,4.6,4.0,3.5,4.5,5.0,2.6,3.9,4.5,4.1,4.0,3.8,3.6,3.7
27,Bulgaria,4.9,6.3,5.8,6.1,5.7,5.0,5.3,5.1,4.3[7],4.5,4.0,4.0,4.6,2.4,3.3,3.5,4.0,2.0,4.1,4.1,3.3,3.2,3.3,3.6,1.8
28,Lithuania,4.8,3.8,2.8,3.9,3.8,4.4,3.2,2.9,3.0,1.9,1.7,2.1,1.7,1.4,0.8,1.4,1.4,1.2,1.2,1.1,1.2,0.9,1.0,1.1,0.9
29,Denmark,4.1,4.6,2.7,4.8,4.2,5.0,4.9,4.1,4.5,4.8,5.1,5.9,5.0,4.5,4.8,4.8,4.8,4.7,4.1,4.7,4.7,4.5,5.0,5.0,4.8
30,Sweden,3.2,3.5,1.6,3.3,2.8,3.3,3.1,1.9,2.3,2.3,2.2,2.3,2.2,2.3,2.0,2.2,2.4,2.3,2.1,2.4,2.4,1.7,2.2,2.1,2.0
31,Algeria,3.1,3.9,4.0,2.4,2.4,2.7,2.4,3.2[7],3.4,2.6,2.6,3.0,1.1,2.3,2.7,2.4,2.7,3.0,1.5,2.0,0.8,1.5,2.3,0.7,3.0
32,Mexico,3.0,3.2,2.9,3.5,3.9,3.7,3.7,3.4,2.3,3.6,3.7,4.1,4.0,3.5,3.3,3.0,2.9,2.8,3.2,3.3,3.3,3.1,3.2,3.6,3.4
33,Serbia,2.9,2.5,2.9,2.3,2.9,2.4,2.4,2.7,1.9,2.1,1.6,2.1,2.1,2.1,1.9,2.7,2.8,1.4,2.3,2.5,2.3,2.1,2.9,3.1,1.5
34,Syria,2.8,3.1,1.2,2.2[7],2.9[7],2.4,2.0,3.1[7],3.7[7],3.9,3.1,3.7,2.1,4.0,4.7,4.7,4.5,4.9,4.8,4.7,2.7,2.6,4.1,3.0,4.1
35,Belarus,2.8,2.3,1.8,2.6,2.3,2.9,2.9,2.1,2.6,2.2,1.7,2.0,2.0,1.4,1.1,1.2,1.1,0.8,1.0,0.9,1.0,0.7,0.8,0.7,0.6
36,Latvia,2.7,2.4,1.4,2.1,2.1,2.3,1.5,1.4,1.5,0.9,1.0,1.0,1.0,0.8,0.6,0.7,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4
37,Morocco,2.6,4.0,7.3,7.1,2.7,8.1,5.1,6.9,3.9,6.0,4.9,6.4,3.8,1.6,6.3,3.0,5.5,5.7,3.4,3.3,1.4,2.2,4.4,2.3,5.9
38,Nepal,2.2,2.0,2.0,1.9,1.7,2.0,1.9,1.7,1.9,1.8,1.6,1.3,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.1,1.2,1.1,1.0,1.1,1.0
39,Slovakia,2.1,1.9,1.9,1.8,2.4,2.1,2.1,1.7,1.3,1.6,1.2,1.5,1.8,1.4,1.3,1.6,1.8,0.9,1.6,1.9,1.3,1.2,1.8,1.9,1.7
40,South Africa,2.1,1.5,1.9,1.5,1.9,1.5,1.8,1.9,1.9,2.0,1.4,2.0,2.1,1.9,2.1,1.9,1.7,1.5,2.4,2.5,2.4,1.7,1.9,2.4,2.7
41,World total,760.9,765.8,734.0,771.7,749.5,737.0,733.5,711.0,672.7,697.7,640.3,684.2,681.0,606.7,614.5,626.9,634.9,550.1,592.0,588.2,585.0,584.8,596.2,614.7,578.6
