GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2001,2001,2001,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,9502.008,9502 [8757-10094],8757.0,10094.0
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2008,2008,2008,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_TOTAL,Total,155000.0,155000 [131000-178000],131000.0,178000.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2015,2015,2015,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,85200.0,85200 [65900-104000],65900.0,104000.0
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2004,2004,2004,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_TOTAL,Total,144000.0,144000 [123000-164000],123000.0,164000.0
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2010,2010,2010,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_TOTAL,Total,8530.0,8530 [7740-9080],7740.0,9080.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2008,2008,2008,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,61.5,61.5 [51.6-69.8],51.6,69.8
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2017,2017,2017,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,52.8,52.8 [45.1-60.2],45.1,60.2
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2018,2018,2018,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,25.3,25.3 [18.5-32.0],18.5,32.0
WHS4_115,Births by caesarean section (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/births-by-caesarean-section-%28-%29,2016,2010,2016,SEAR,South-East Asia,IND,India,,,,17.2,17.2,,
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2009,2009,2009,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,4170.0,4170 [3680-4610],3680.0,4610.0
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2011,2011,2011,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,53.5,53.5 [45.6-61.5],45.6,61.5
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2007,2007,2007,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,33.8,33.8 [26.0-40.5],26.0,40.5
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2016,2016,2016,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,25.3,25.3 [19.3-31.0],19.3,31.0
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2001,2001,2001,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MILD,Mild,22.1,22.1 [19.6-24.4],19.6,24.4
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2016,2016,2016,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_SEVERE,Severe,2.5,2.5 [1.6-3.6],1.6,3.6
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2004,2004,2004,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_SEVERE,Severe,4540.0,4540 [2720-6680],2720.0,6680.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2005,2005,2005,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MILD,Mild,66200.0,66200 [59000-72500],59000.0,72500.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2017,2017,2017,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,25.3,25.3 [19.0-31.4],19.0,31.4
HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-women-of-reproductive-age-%28aged-15-49-years%29,2017,2017,2017,SEAR,South-East Asia,IND,India,,,,117.0,117 [114-120],114.0,120.0
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2004,2004,2004,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_TOTAL,Total,84600.0,84600 [73600-93300],73600.0,93300.0
HEMOGLOBINLEVEL_CHILDREN_MEAN,Mean hemoglobin level of children aged 6-59 months,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-children-aged-6-59-months,2000,2000,2000,SEAR,South-East Asia,IND,India,,,,101.0,101 [98-104],98.0,104.0
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2005,2005,2005,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_SEVERE,Severe,4210.0,4210 [2440-6290],2440.0,6290.0
WHS4_154,Antenatal care coverage - at least four visits (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antenatal-care-coverage-at-least-four-visits,1993,1988,1993,SEAR,South-East Asia,IND,India,,,,26.9,26.9,,
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2009,2009,2009,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,26.9,26.9 [20.5-33.3],20.5,33.3
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2007,2007,2007,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_SEVERE,Severe,3.5,3.5 [2.4-4.7],2.4,4.7
WHOSIS_000015,Life expectancy at age 60 (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/life-expectancy-at-age-60-%28years%29,2019,2019,2019,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,19.54051,19.5,,
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2015,2015,2015,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,11.1,11.1,,
WHOSIS_000001,Life expectancy at birth (years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/life-expectancy-at-birth-%28years%29,2000,2000,2000,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,62.92488,62.9,,
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2006,2006,2006,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_TOTAL,Total,9190.0,9190 [8400-9760],8400.0,9760.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2009,2009,2009,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,26.8,26.8 [20.7-32.9],20.7,32.9
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2017,2017,2017,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_TOTAL,Total,175000.0,175000 [149000-200000],149000.0,200000.0
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2017,2017,2017,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,31500.0,31500 [22400-39700],22400.0,39700.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2016,2016,2016,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_TOTAL,Total,180000.0,180000 [155000-204000],155000.0,204000.0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2016,2016,2016,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MILD,Mild,26.0,26.0 [23.3-28.2],23.3,28.2
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2016,2016,2016,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,52.6,52.6 [45.5-59.7],45.5,59.7
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2008,2008,2008,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_SEVERE,Severe,489.0,489 [353-622],353.0,622.0
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2006,2006,2006,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_TOTAL,Total,82300.0,82300 [70200-92000],70200.0,92000.0
HEMOGLOBINLEVEL_PREGNANT_MEAN,Mean hemoglobin level of pregnant women (aged 15-49 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-pregnant-women-%28aged-15-49-years%29,2004,2004,2004,SEAR,South-East Asia,IND,India,,,,107.0,107 [106-109],106.0,109.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2004,2004,2004,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,153210.651,153211 [131973-173603],131973.0,173603.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2003,2003,2003,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_SEVERE,Severe,10600.0,10600 [7610-14100],7610.0,14100.0
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2014,2014,2014,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MILD,Mild,77500.0,77500 [69300-84300],69300.0,84300.0
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2015,2015,2015,SEAR,South-East Asia,IND,India,SEX,SEX_BTSX,Both sexes,66242.366,66242 [55731-75866],55731.0,75866.0
HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-women-of-reproductive-age-%28aged-15-49-years%29,2011,2011,2011,SEAR,South-East Asia,IND,India,,,,116.0,116 [114-119],114.0,119.0
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2003,2003,2003,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,54.1,54.1 [46.4-61.5],46.4,61.5
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2003,2003,2003,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MILD,Mild,62700.0,62700 [56000-68700],56000.0,68700.0
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2010,2010,2010,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_SEVERE,Severe,3.2,3.2 [2.1-4.4],2.1,4.4
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-pregnant-women-number-%28in-thousands%29,2011,2011,2011,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MILD,Mild,3970.0,3970 [3540-4310],3540.0,4310.0
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2012,2012,2012,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_SEVERE,Severe,9460.0,9460 [6280-13100],6280.0,13100.0
HEMOGLOBINLEVEL_REPRODUCTIVEAGE_MEAN,Mean hemoglobin level of women of reproductive age (aged 15-49 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mean-hemoglobin-level-of-women-of-reproductive-age-%28aged-15-49-years%29,2008,2008,2008,SEAR,South-East Asia,IND,India,,,,116.0,116 [113-119],113.0,119.0
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-prevalence-%28-%29,2005,2005,2005,SEAR,South-East Asia,IND,India,SEVERITY,SEVERITY_MODERATE,Moderate,27.6,27.6 [21.6-33.7],21.6,33.7
NUTRITION_ANAEMIA_NONPREGNANT_NUM,Number of non-pregnant women (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2016,2016,2016,SEAR,South-East Asia,IND,India,SEX,SEX_FMLE,Female,171743.064,171743 [147868-195563],147868.0,195563.0
